Year,Country,Life Expetancy
01/01/1991,Panama,73
01/01/1991,Paraguay,68
01/01/1991,Peru,66
01/01/1991,Philippines,65
01/01/1991,Poland,71
01/01/1991,Portugal,74
01/01/1991,Qatar,75
01/01/1991,Romania,70
01/01/1991,Saudi Arabia,69
01/01/1991,South Africa,62
01/01/1991,South Korea,72
01/01/1991,Spain,77
01/01/1991,Sri Lanka,70
01/01/1991,Sweden,78
01/01/1991,Switzerland,78
01/01/1991,Thailand,71
01/01/1991,Tonga,70
01/01/1991,Trinidad Tobago,68
01/01/1991,Tunisia,69
01/01/1991,Turkey,65
01/01/1991,UAE,72
01/01/1991,United Kingdom,76
01/01/1991,United States,75
01/01/1991,Uruguay,73
01/01/1991,Venezuela,71
01/01/1991,Vietnam,71
01/01/1992,Albania,72
01/01/1992,Algeria,67
01/01/1992,Argentina,72
01/01/1992,Australia,77
01/01/1992,Austria,76
01/01/1992,Bahrain,73
01/01/1992,Barbados,72
01/01/1992,Belgium,76
01/01/1992,Belize,71
01/01/1992,Bolivia,60
01/01/1992,Botswana,61
01/01/1992,Brazil,67
01/01/1992,Brunei,74
01/01/1992,Bulgaria,71
01/01/1992,Canada,78
01/01/1992,Chile,74
01/01/1992,China,70
01/01/1992,Colombia,69
01/01/1992,Costa Rica,76
01/01/1992,Cuba,75
01/01/1992,Cyprus,77
01/01/1992,Denmark,75
01/01/1992,Dominican Rep.,69
01/01/1992,Ecuador,70
01/01/1992,Egypt,65
01/01/1992,El Salvador,68
01/01/1992,Fiji,66
01/01/1992,Finland,76
01/01/1992,France,77
01/01/1992,Gabon,61
01/01/1992,Germany,76
01/01/1992,Greece,77
01/01/1992,Guatemala,63
01/01/1992,Guyana,62
01/01/1992,Honduras,68
01/01/1992,Hong Kong,78
01/01/1992,Hungary,69
01/01/1992,Iceland,78
01/01/1992,Indonesia,64
01/01/1992,Iran,66
01/01/1992,Iraq,70
01/01/1992,Ireland,75
01/01/1992,Israel,77
01/01/1992,Italy,77
01/01/1992,Jamaica,71
01/01/1992,Japan,79
01/01/1992,Jordan,70
01/01/1992,Kuwait,72
01/01/1992,Luxembourg,76
01/01/1992,Malaysia,71
01/01/1992,Malta,76
01/01/1992,Mauritius,70
01/01/1992,Mexico,72
01/01/1992,Mongolia,61
01/01/1992,Namibia,61
01/01/1992,Netherlands,77
01/01/1992,New Zealand,76
01/01/1992,Norway,77
01/01/1992,Panama,73
01/01/1992,Paraguay,68
01/01/1992,Peru,67
01/01/1992,Philippines,66
01/01/1992,Poland,71
01/01/1992,Portugal,75
01/01/1992,Qatar,76
01/01/1992,Romania,70
01/01/1992,Saudi Arabia,70
01/01/1992,South Africa,62
01/01/1992,South Korea,73
01/01/1992,Spain,77
01/01/1992,Sri Lanka,70
01/01/1992,Sweden,78
01/01/1992,Switzerland,78
01/01/1992,Thailand,71
01/01/1992,Tonga,70
01/01/1992,Trinidad Tobago,68
01/01/1992,Tunisia,70
01/01/1992,Turkey,65
01/01/1992,UAE,72
01/01/1992,United Kingdom,76
01/01/1992,United States,76
01/01/1992,Uruguay,73
01/01/1992,Venezuela,71
01/01/1992,Vietnam,71
01/01/1993,Albania,72
01/01/1993,Algeria,67
01/01/1993,Argentina,72
01/01/1993,Australia,78
01/01/1993,Austria,76
01/01/1993,Bahrain,73
01/01/1993,Barbados,72
01/01/1993,Belgium,76
01/01/1993,Belize,70
01/01/1993,Bolivia,60
01/01/1993,Botswana,60
01/01/1993,Brazil,68
01/01/1993,Brunei,74
01/01/1993,Bulgaria,71
01/01/1993,Canada,78
01/01/1993,Chile,75
01/01/1993,China,70
01/01/1993,Colombia,69
01/01/1993,Costa Rica,76
01/01/1993,Cuba,75
01/01/1993,Cyprus,77
01/01/1993,Denmark,75
01/01/1993,Dominican Rep.,69
01/01/1993,Ecuador,70
01/01/1993,Egypt,66
01/01/1993,El Salvador,68
01/01/1993,Fiji,66
01/01/1993,Finland,76
01/01/1993,France,77
01/01/1993,Gabon,61
01/01/1993,Germany,76
01/01/1993,Greece,77
01/01/1993,Guatemala,64
01/01/1993,Guyana,62
01/01/1993,Honduras,68
01/01/1993,Hong Kong,78
01/01/1993,Hungary,70
01/01/1993,Iceland,78
01/01/1993,Indonesia,65
01/01/1993,Iran,67
01/01/1993,Iraq,70
01/01/1993,Ireland,75
01/01/1993,Israel,77
01/01/1993,Italy,78
01/01/1993,Jamaica,70
01/01/1993,Japan,80
01/01/1993,Jordan,71
01/01/1993,Kuwait,72
01/01/1993,Luxembourg,76
01/01/1993,Malaysia,71
01/01/1993,Malta,76
01/01/1993,Mauritius,70
01/01/1993,Mexico,72
01/01/1993,Mongolia,61
01/01/1993,Namibia,61
01/01/1993,Netherlands,77
01/01/1993,New Zealand,76
01/01/1993,Norway,77
01/01/1993,Panama,74
01/01/1993,Paraguay,69
01/01/1993,Peru,67
01/01/1993,Philippines,66
01/01/1993,Poland,71
01/01/1993,Portugal,75
01/01/1993,Qatar,76
01/01/1993,Romania,70
01/01/1993,Saudi Arabia,70
01/01/1993,South Africa,62
01/01/1993,South Korea,73
01/01/1993,Spain,78
01/01/1993,Sri Lanka,70
01/01/1993,Sweden,78
01/01/1993,Switzerland,78
01/01/1993,Thailand,71
01/01/1993,Tonga,70
01/01/1993,Trinidad Tobago,68
01/01/1993,Tunisia,71
01/01/1993,Turkey,66
01/01/1993,UAE,72
01/01/1993,United Kingdom,76
01/01/1993,United States,76
01/01/1993,Uruguay,73
01/01/1993,Venezuela,72
01/01/1993,Vietnam,72
01/01/1994,Albania,72
01/01/1994,Algeria,68
01/01/1994,Argentina,72
01/01/1994,Australia,78
01/01/1994,Austria,76
01/01/1994,Bahrain,73
01/01/1994,Barbados,72
01/01/1994,Belgium,77
01/01/1994,Belize,70
01/01/1994,Bolivia,61
01/01/1994,Botswana,58
01/01/1994,Brazil,68
01/01/1994,Brunei,75
01/01/1994,Bulgaria,71
01/01/1994,Canada,78
01/01/1994,Chile,75
01/01/1994,China,70
01/01/1994,Colombia,69
01/01/1994,Costa Rica,77
01/01/1994,Cuba,75
01/01/1994,Cyprus,77
01/01/1994,Denmark,75
01/01/1994,Dominican Rep.,69
01/01/1994,Ecuador,71
01/01/1994,Egypt,66
01/01/1994,El Salvador,69
01/01/1994,Fiji,66
01/01/1994,Finland,76
01/01/1994,France,78
01/01/1994,Gabon,61
01/01/1994,Germany,76
01/01/1994,Greece,78
01/01/1994,Guatemala,64
01/01/1994,Guyana,63
01/01/1994,Honduras,68
01/01/1994,Hong Kong,78
01/01/1994,Hungary,70
01/01/1994,Iceland,79
01/01/1994,Indonesia,65
01/01/1994,Iran,67
01/01/1994,Iraq,71
01/01/1994,Ireland,75
01/01/1994,Israel,77
01/01/1994,Italy,78
01/01/1994,Jamaica,70
01/01/1994,Japan,80
01/01/1994,Jordan,71
01/01/1994,Kuwait,73
01/01/1994,Luxembourg,76
01/01/1994,Malaysia,72
01/01/1994,Malta,76
01/01/1994,Mauritius,70
01/01/1994,Mexico,72
01/01/1994,Mongolia,61
01/01/1994,Namibia,61
01/01/1994,Netherlands,77
01/01/1994,New Zealand,77
01/01/1994,Norway,77
01/01/1994,Panama,74
01/01/1994,Paraguay,69
01/01/1994,Peru,68
01/01/1994,Philippines,66
01/01/1994,Poland,72
01/01/1994,Portugal,75
01/01/1994,Qatar,76
01/01/1994,Romania,70
01/01/1994,Saudi Arabia,70
01/01/1994,South Africa,62
01/01/1994,South Korea,73
01/01/1994,Spain,78
01/01/1994,Sri Lanka,69
01/01/1994,Sweden,78
01/01/1994,Switzerland,78
01/01/1994,Thailand,71
01/01/1994,Tonga,70
01/01/1994,Trinidad Tobago,68
01/01/1994,Tunisia,71
01/01/1994,Turkey,66
01/01/1994,UAE,73
01/01/1994,United Kingdom,76
01/01/1994,United States,76
01/01/1994,Uruguay,73
01/01/1994,Venezuela,72
01/01/1994,Vietnam,72
01/01/1995,Albania,72
01/01/1995,Algeria,68
01/01/1995,Argentina,73
01/01/1995,Australia,78
01/01/1995,Austria,77
01/01/1995,Bahrain,73
01/01/1995,Barbados,72
01/01/1995,Belgium,77
01/01/1995,Belize,70
01/01/1995,Bolivia,61
01/01/1995,Botswana,56
01/01/1995,Brazil,68
01/01/1995,Brunei,75
01/01/1995,Bulgaria,71
01/01/1995,Canada,78
01/01/1995,Chile,75
01/01/1995,China,70
01/01/1995,Colombia,69
01/01/1995,Costa Rica,77
01/01/1995,Cuba,75
01/01/1995,Cyprus,77
01/01/1995,Denmark,76
01/01/1995,Dominican Rep.,70
01/01/1995,Ecuador,71
01/01/1995,Egypt,67
01/01/1995,El Salvador,69
01/01/1995,Fiji,67
01/01/1995,Finland,76
01/01/1995,France,78
01/01/1995,Gabon,61
01/01/1995,Germany,77
01/01/1995,Greece,78
01/01/1995,Guatemala,65
01/01/1995,Guyana,63
01/01/1995,Honduras,69
01/01/1995,Hong Kong,79
01/01/1995,Hungary,70
01/01/1995,Iceland,79
01/01/1995,Indonesia,65
01/01/1995,Iran,68
01/01/1995,Iraq,71
01/01/1995,Ireland,76
01/01/1995,Israel,78
01/01/1995,Italy,78
01/01/1995,Jamaica,70
01/01/1995,Japan,80
01/01/1995,Jordan,71
01/01/1995,Kuwait,73
01/01/1995,Luxembourg,76
01/01/1995,Malaysia,72
01/01/1995,Malta,76
01/01/1995,Mauritius,70
01/01/1995,Mexico,73
01/01/1995,Mongolia,61
01/01/1995,Namibia,60
01/01/1995,Netherlands,78
01/01/1995,New Zealand,77
01/01/1995,Norway,78
01/01/1995,Panama,74
01/01/1995,Paraguay,69
01/01/1995,Peru,68
01/01/1995,Philippines,66
01/01/1995,Poland,72
01/01/1995,Portugal,75
01/01/1995,Qatar,76
01/01/1995,Romania,70
01/01/1995,Saudi Arabia,71
01/01/1995,South Africa,61
01/01/1995,South Korea,74
01/01/1995,Spain,78
01/01/1995,Sri Lanka,69
01/01/1995,Sweden,79
01/01/1995,Switzerland,79
01/01/1995,Thailand,71
01/01/1995,Tonga,70
01/01/1995,Trinidad Tobago,68
01/01/1995,Tunisia,71
01/01/1995,Turkey,67
01/01/1995,UAE,73
01/01/1995,United Kingdom,77
01/01/1995,United States,76
01/01/1995,Uruguay,74
01/01/1995,Venezuela,72
01/01/1995,Vietnam,72
01/01/1996,Albania,72
01/01/1996,Algeria,68
01/01/1996,Argentina,73
01/01/1996,Australia,78
01/01/1996,Austria,77
01/01/1996,Bahrain,74
01/01/1996,Barbados,72
01/01/1996,Belgium,77
01/01/1996,Belize,70
01/01/1996,Bolivia,62
01/01/1996,Botswana,54
01/01/1996,Brazil,69
01/01/1996,Brunei,75
01/01/1996,Bulgaria,71
01/01/1996,Canada,78
01/01/1996,Chile,75
01/01/1996,China,71
01/01/1996,Colombia,70
01/01/1996,Costa Rica,77
01/01/1996,Cuba,76
01/01/1996,Cyprus,77
01/01/1996,Denmark,76
01/01/1996,Dominican Rep.,70
01/01/1996,Ecuador,72
01/01/1996,Egypt,67
01/01/1996,El Salvador,69
01/01/1996,Fiji,67
01/01/1996,Finland,77
01/01/1996,France,78
01/01/1996,Gabon,61
01/01/1996,Germany,77
01/01/1996,Greece,78
01/01/1996,Guatemala,65
01/01/1996,Guyana,63
01/01/1996,Honduras,69
01/01/1996,Hong Kong,79
01/01/1996,Hungary,70
01/01/1996,Iceland,79
01/01/1996,Indonesia,66
01/01/1996,Iran,68
01/01/1996,Iraq,71
01/01/1996,Ireland,76
01/01/1996,Israel,78
01/01/1996,Italy,78
01/01/1996,Jamaica,70
01/01/1996,Japan,80
01/01/1996,Jordan,71
01/01/1996,Kuwait,73
01/01/1996,Luxembourg,77
01/01/1996,Malaysia,72
01/01/1996,Malta,77
01/01/1996,Mauritius,70
01/01/1996,Mexico,73
01/01/1996,Mongolia,61
01/01/1996,Namibia,59
01/01/1996,Netherlands,78
01/01/1996,New Zealand,77
01/01/1996,Norway,78
01/01/1996,Panama,74
01/01/1996,Paraguay,69
01/01/1996,Peru,69
01/01/1996,Philippines,66
01/01/1996,Poland,72
01/01/1996,Portugal,75
01/01/1996,Qatar,76
01/01/1996,Romania,70
01/01/1996,Saudi Arabia,71
01/01/1996,South Africa,61
01/01/1996,South Korea,74
01/01/1996,Spain,78
01/01/1996,Sri Lanka,69
01/01/1996,Sweden,79
01/01/1996,Switzerland,79
01/01/1996,Thailand,71
01/01/1996,Tonga,70
01/01/1996,Trinidad Tobago,68
01/01/1996,Tunisia,72
01/01/1996,Turkey,68
01/01/1996,UAE,73
01/01/1996,United Kingdom,77
01/01/1996,United States,76
01/01/1996,Uruguay,74
01/01/1996,Venezuela,72
01/01/1996,Vietnam,73
01/01/1997,Albania,73
01/01/1997,Algeria,68
01/01/1997,Argentina,73
01/01/1997,Australia,79
01/01/1997,Austria,77
01/01/1997,Bahrain,74
01/01/1997,Barbados,73
01/01/1997,Belgium,77
01/01/1997,Belize,70
01/01/1997,Bolivia,62
01/01/1997,Botswana,53
01/01/1997,Brazil,69
01/01/1997,Brunei,75
01/01/1997,Bulgaria,71
01/01/1997,Canada,78
01/01/1997,Chile,76
01/01/1997,China,71
01/01/1997,Colombia,70
01/01/1997,Costa Rica,77
01/01/1997,Cuba,76
01/01/1997,Cyprus,78
01/01/1997,Denmark,76
01/01/1997,Dominican Rep.,70
01/01/1997,Ecuador,72
01/01/1997,Egypt,68
01/01/1997,El Salvador,69
01/01/1997,Fiji,67
01/01/1997,Finland,77
01/01/1997,France,78
01/01/1997,Gabon,61
01/01/1997,Germany,77
01/01/1997,Greece,78
01/01/1997,Guatemala,66
01/01/1997,Guyana,63
01/01/1997,Honduras,70
01/01/1997,Hong Kong,79
01/01/1997,Hungary,71
01/01/1997,Iceland,79
01/01/1997,Indonesia,66
01/01/1997,Iran,69
01/01/1997,Iraq,71
01/01/1997,Ireland,76
01/01/1997,Israel,78
01/01/1997,Italy,79
01/01/1997,Jamaica,70
01/01/1997,Japan,80
01/01/1997,Jordan,71
01/01/1997,Kuwait,73
01/01/1997,Luxembourg,77
01/01/1997,Malaysia,72
01/01/1997,Malta,77
01/01/1997,Mauritius,71
01/01/1997,Mexico,74
01/01/1997,Mongolia,62
01/01/1997,Namibia,58
01/01/1997,Netherlands,78
01/01/1997,New Zealand,77
01/01/1997,Norway,78
01/01/1997,Panama,75
01/01/1997,Paraguay,69
01/01/1997,Peru,69
01/01/1997,Philippines,66
01/01/1997,Poland,73
01/01/1997,Portugal,76
01/01/1997,Qatar,76
01/01/1997,Romania,70
01/01/1997,Saudi Arabia,71
01/01/1997,South Africa,60
01/01/1997,South Korea,75
01/01/1997,Spain,78
01/01/1997,Sri Lanka,69
01/01/1997,Sweden,79
01/01/1997,Switzerland,79
01/01/1997,Thailand,71
01/01/1997,Tonga,70
01/01/1997,Trinidad Tobago,68
01/01/1997,Tunisia,72
01/01/1997,Turkey,68
01/01/1997,UAE,73
01/01/1997,United Kingdom,77
01/01/1997,United States,76
01/01/1997,Uruguay,74
01/01/1997,Venezuela,72
01/01/1997,Vietnam,73
01/01/1998,Albania,73
01/01/1998,Algeria,69
01/01/1998,Argentina,73
01/01/1998,Australia,79
01/01/1998,Austria,78
01/01/1998,Bahrain,74
01/01/1998,Barbados,73
01/01/1998,Belgium,77
01/01/1998,Belize,70
01/01/1998,Bolivia,62
01/01/1998,Botswana,51
01/01/1998,Brazil,70
01/01/1998,Brunei,75
01/01/1998,Bulgaria,71
01/01/1998,Canada,79
01/01/1998,Chile,76
01/01/1998,China,71
01/01/1998,Colombia,70
01/01/1998,Costa Rica,77
01/01/1998,Cuba,76
01/01/1998,Cyprus,78
01/01/1998,Denmark,76
01/01/1998,Dominican Rep.,70
01/01/1998,Ecuador,73
01/01/1998,Egypt,68
01/01/1998,El Salvador,69
01/01/1998,Fiji,67
01/01/1998,Finland,77
01/01/1998,France,78
01/01/1998,Gabon,60
01/01/1998,Germany,77
01/01/1998,Greece,78
01/01/1998,Guatemala,67
01/01/1998,Guyana,63
01/01/1998,Honduras,70
01/01/1998,Hong Kong,80
01/01/1998,Hungary,71
01/01/1998,Iceland,79
01/01/1998,Indonesia,67
01/01/1998,Iran,69
01/01/1998,Iraq,71
01/01/1998,Ireland,76
01/01/1998,Israel,78
01/01/1998,Italy,79
01/01/1998,Jamaica,70
01/01/1998,Japan,81
01/01/1998,Jordan,71
01/01/1998,Kuwait,73
01/01/1998,Luxembourg,77
01/01/1998,Malaysia,72
01/01/1998,Malta,77
01/01/1998,Mauritius,71
01/01/1998,Mexico,74
01/01/1998,Mongolia,62
01/01/1998,Namibia,57
01/01/1998,Netherlands,78
01/01/1998,New Zealand,78
01/01/1998,Norway,78
01/01/1998,Panama,75
01/01/1998,Paraguay,70
01/01/1998,Peru,70
01/01/1998,Philippines,66
01/01/1998,Poland,73
01/01/1998,Portugal,76
01/01/1998,Qatar,76
01/01/1998,Romania,70
01/01/1998,Saudi Arabia,72
01/01/1998,South Africa,58
01/01/1998,South Korea,75
01/01/1998,Spain,79
01/01/1998,Sri Lanka,70
01/01/1998,Sweden,79
01/01/1998,Switzerland,79
01/01/1998,Thailand,71
01/01/1998,Tonga,71
01/01/1998,Trinidad Tobago,68
01/01/1998,Tunisia,73
01/01/1998,Turkey,69
01/01/1998,UAE,74
01/01/1998,United Kingdom,77
01/01/1998,United States,76
01/01/1998,Uruguay,74
01/01/1998,Venezuela,72
01/01/1998,Vietnam,73
01/01/1999,Albania,74
01/01/1999,Algeria,69
01/01/1999,Argentina,74
01/01/1999,Australia,79
01/01/1999,Austria,78
01/01/1999,Bahrain,74
01/01/1999,Barbados,73
01/01/1999,Belgium,78
01/01/1999,Belize,70
01/01/1999,Bolivia,63
01/01/1999,Botswana,50
01/01/1999,Brazil,70
01/01/1999,Brunei,76
01/01/1999,Bulgaria,71
01/01/1999,Canada,79
01/01/1999,Chile,76
01/01/1999,China,72
01/01/1999,Colombia,71
01/01/1999,Costa Rica,78
01/01/1999,Cuba,76
01/01/1999,Cyprus,78
01/01/1999,Denmark,76
01/01/1999,Dominican Rep.,70
01/01/1999,Ecuador,73
01/01/1999,Egypt,68
01/01/1999,El Salvador,70
01/01/1999,Fiji,67
01/01/1999,Finland,77
01/01/1999,France,79
01/01/1999,Gabon,60
01/01/1999,Germany,78
01/01/1999,Greece,78
01/01/1999,Guatemala,67
01/01/1999,Guyana,63
01/01/1999,Honduras,70
01/01/1999,Hong Kong,80
01/01/1999,Hungary,71
01/01/1999,Iceland,79
01/01/1999,Indonesia,67
01/01/1999,Iran,69
01/01/1999,Iraq,71
01/01/1999,Ireland,76
01/01/1999,Israel,79
01/01/1999,Italy,79
01/01/1999,Jamaica,70
01/01/1999,Japan,81
01/01/1999,Jordan,72
01/01/1999,Kuwait,73
01/01/1999,Luxembourg,77
01/01/1999,Malaysia,73
01/01/1999,Malta,77
01/01/1999,Mauritius,71
01/01/1999,Mexico,74
01/01/1999,Mongolia,62
01/01/1999,Namibia,56
01/01/1999,Netherlands,78
01/01/1999,New Zealand,78
01/01/1999,Norway,79
01/01/1999,Panama,75
01/01/1999,Paraguay,70
01/01/1999,Peru,70
01/01/1999,Philippines,67
01/01/1999,Poland,73
01/01/1999,Portugal,76
01/01/1999,Qatar,77
01/01/1999,Romania,70
01/01/1999,Saudi Arabia,72
01/01/1999,South Africa,57
01/01/1999,South Korea,76
01/01/1999,Spain,79
01/01/1999,Sri Lanka,70
01/01/1999,Sweden,79
01/01/1999,Switzerland,80
01/01/1999,Thailand,71
01/01/1999,Tonga,71
01/01/1999,Trinidad Tobago,68
01/01/1999,Tunisia,73
01/01/1999,Turkey,69
01/01/1999,UAE,74
01/01/1999,United Kingdom,77
01/01/1999,United States,77
01/01/1999,Uruguay,75
01/01/1999,Venezuela,72
01/01/1999,Vietnam,74
01/01/2000,Albania,74
01/01/2000,Algeria,69
01/01/2000,Argentina,74
01/01/2000,Australia,80
01/01/2000,Austria,78
01/01/2000,Bahrain,74
01/01/2000,Barbados,73
01/01/2000,Belgium,78
01/01/2000,Belize,70
01/01/2000,Bolivia,63
01/01/2000,Botswana,49
01/01/2000,Brazil,70
01/01/2000,Brunei,76
01/01/2000,Bulgaria,71
01/01/2000,Canada,79
01/01/2000,Chile,77
01/01/2000,China,72
01/01/2000,Colombia,71
01/01/2000,Costa Rica,78
01/01/2000,Cuba,77
01/01/2000,Cyprus,78
01/01/2000,Denmark,77
01/01/2000,Dominican Rep.,71
01/01/2000,Ecuador,73
01/01/2000,Egypt,69
01/01/2000,El Salvador,70
01/01/2000,Fiji,68
01/01/2000,Finland,78
01/01/2000,France,79
01/01/2000,Gabon,60
01/01/2000,Germany,78
01/01/2000,Greece,79
01/01/2000,Guatemala,68
01/01/2000,Guyana,63
01/01/2000,Honduras,70
01/01/2000,Hong Kong,80
01/01/2000,Hungary,72
01/01/2000,Iceland,80
01/01/2000,Indonesia,67
01/01/2000,Iran,70
01/01/2000,Iraq,71
01/01/2000,Ireland,77
01/01/2000,Israel,79
01/01/2000,Italy,79
01/01/2000,Jamaica,70
01/01/2000,Japan,81
01/01/2000,Jordan,72
01/01/2000,Kuwait,73
01/01/2000,Luxembourg,78
01/01/2000,Malaysia,73
01/01/2000,Malta,77
01/01/2000,Mauritius,71
01/01/2000,Mexico,74
01/01/2000,Mongolia,63
01/01/2000,Namibia,55
01/01/2000,Netherlands,78
01/01/2000,New Zealand,78
01/01/2000,Norway,79
01/01/2000,Panama,75
01/01/2000,Paraguay,70
01/01/2000,Peru,71
01/01/2000,Philippines,67
01/01/2000,Poland,74
01/01/2000,Portugal,77
01/01/2000,Qatar,77
01/01/2000,Romania,70
01/01/2000,Saudi Arabia,72
01/01/2000,South Africa,56
01/01/2000,South Korea,76
01/01/2000,Spain,79
01/01/2000,Sri Lanka,71
01/01/2000,Sweden,80
01/01/2000,Switzerland,80
01/01/2000,Thailand,71
01/01/2000,Tonga,71
01/01/2000,Trinidad Tobago,69
01/01/2000,Tunisia,73
01/01/2000,Turkey,70
01/01/2000,UAE,74
01/01/2000,United Kingdom,78
01/01/2000,United States,77
01/01/2000,Uruguay,75
01/01/2000,Venezuela,72
01/01/2000,Vietnam,74
01/01/2001,Albania,75
01/01/2001,Algeria,69
01/01/2001,Argentina,74
01/01/2001,Australia,80
01/01/2001,Austria,78
01/01/2001,Bahrain,75
01/01/2001,Barbados,73
01/01/2001,Belgium,78
01/01/2001,Belize,71
01/01/2001,Bolivia,63
01/01/2001,Botswana,49
01/01/2001,Brazil,71
01/01/2001,Brunei,76
01/01/2001,Bulgaria,72
01/01/2001,Canada,79
01/01/2001,Chile,77
01/01/2001,China,73
01/01/2001,Colombia,71
01/01/2001,Costa Rica,78
01/01/2001,Cuba,77
01/01/2001,Cyprus,78
01/01/2001,Denmark,77
01/01/2001,Dominican Rep.,71
01/01/2001,Ecuador,74
01/01/2001,Egypt,69
01/01/2001,El Salvador,70
01/01/2001,Fiji,68
01/01/2001,Finland,78
01/01/2001,France,79
01/01/2001,Gabon,60
01/01/2001,Germany,78
01/01/2001,Greece,79
01/01/2001,Guatemala,68
01/01/2001,Guyana,63
01/01/2001,Honduras,71
01/01/2001,Hong Kong,81
01/01/2001,Hungary,72
01/01/2001,Iceland,80
01/01/2001,Indonesia,68
01/01/2001,Iran,70
01/01/2001,Iraq,71
01/01/2001,Ireland,77
01/01/2001,Israel,79
01/01/2001,Italy,80
01/01/2001,Jamaica,71
01/01/2001,Japan,81
01/01/2001,Jordan,72
01/01/2001,Kuwait,73
01/01/2001,Luxembourg,78
01/01/2001,Malaysia,73
01/01/2001,Malta,78
01/01/2001,Mauritius,72
01/01/2001,Mexico,75
01/01/2001,Mongolia,63
01/01/2001,Namibia,54
01/01/2001,Netherlands,78
01/01/2001,New Zealand,79
01/01/2001,Norway,79
01/01/2001,Panama,75
01/01/2001,Paraguay,70
01/01/2001,Peru,71
01/01/2001,Philippines,67
01/01/2001,Poland,74
01/01/2001,Portugal,77
01/01/2001,Qatar,77
01/01/2001,Romania,71
01/01/2001,Saudi Arabia,73
01/01/2001,South Africa,55
01/01/2001,South Korea,77
01/01/2001,Spain,79
01/01/2001,Sri Lanka,72
01/01/2001,Sweden,80
01/01/2001,Switzerland,80
01/01/2001,Thailand,71
01/01/2001,Tonga,71
01/01/2001,Trinidad Tobago,69
01/01/2001,Tunisia,73
01/01/2001,Turkey,71
01/01/2001,UAE,74
01/01/2001,United Kingdom,78
01/01/2001,United States,77
01/01/2001,Uruguay,75
01/01/2001,Venezuela,73
01/01/2001,Vietnam,74
01/01/2002,Albania,75
01/01/2002,Algeria,69
01/01/2002,Argentina,74
01/01/2002,Australia,80
01/01/2002,Austria,79
01/01/2002,Bahrain,75
01/01/2002,Barbados,73
01/01/2002,Belgium,78
01/01/2002,Belize,71
01/01/2002,Bolivia,64
01/01/2002,Botswana,49
01/01/2002,Brazil,71
01/01/2002,Brunei,76
01/01/2002,Bulgaria,72
01/01/2002,Canada,80
01/01/2002,Chile,78
01/01/2002,China,73
01/01/2002,Colombia,72
01/01/2002,Costa Rica,78
01/01/2002,Cuba,77
01/01/2002,Cyprus,78
01/01/2002,Denmark,77
01/01/2002,Dominican Rep.,71
01/01/2002,Ecuador,74
01/01/2002,Egypt,69
01/01/2002,El Salvador,70
01/01/2002,Fiji,68
01/01/2002,Finland,78
01/01/2002,France,79
01/01/2002,Gabon,59
01/01/2002,Germany,78
01/01/2002,Greece,79
01/01/2002,Guatemala,69
01/01/2002,Guyana,64
01/01/2002,Honduras,71
01/01/2002,Hong Kong,81
01/01/2002,Hungary,72
01/01/2002,Iceland,80
01/01/2002,Indonesia,68
01/01/2002,Iran,70
01/01/2002,Iraq,70
01/01/2002,Ireland,77
01/01/2002,Israel,79
01/01/2002,Italy,80
01/01/2002,Jamaica,71
01/01/2002,Japan,82
01/01/2002,Jordan,72
01/01/2002,Kuwait,73
01/01/2002,Luxembourg,78
01/01/2002,Malaysia,73
01/01/2002,Malta,78
01/01/2002,Mauritius,72
01/01/2002,Mexico,75
01/01/2002,Mongolia,64
01/01/2002,Namibia,54
01/01/2002,Netherlands,79
01/01/2002,New Zealand,79
01/01/2002,Norway,79
01/01/2002,Panama,75
01/01/2002,Paraguay,71
01/01/2002,Peru,71
01/01/2002,Philippines,67
01/01/2002,Poland,74
01/01/2002,Portugal,77
01/01/2002,Qatar,77
01/01/2002,Romania,71
01/01/2002,Saudi Arabia,73
01/01/2002,South Africa,54
01/01/2002,South Korea,77
01/01/2002,Spain,80
01/01/2002,Sri Lanka,73
01/01/2002,Sweden,80
01/01/2002,Switzerland,80
01/01/2002,Thailand,71
01/01/2002,Tonga,71
01/01/2002,Trinidad Tobago,69
01/01/2002,Tunisia,74
01/01/2002,Turkey,71
01/01/2002,UAE,75
01/01/2002,United Kingdom,78
01/01/2002,United States,77
01/01/2002,Uruguay,75
01/01/2002,Venezuela,73
01/01/2002,Vietnam,74
01/01/2003,Albania,75
01/01/2003,Algeria,70
01/01/2003,Argentina,74
01/01/2003,Australia,81
01/01/2003,Austria,79
01/01/2003,Bahrain,75
01/01/2003,Barbados,74
01/01/2003,Belgium,78
01/01/2003,Belize,71
01/01/2003,Bolivia,64
01/01/2003,Botswana,51
01/01/2003,Brazil,71
01/01/2003,Brunei,77
01/01/2003,Bulgaria,72
01/01/2003,Canada,80
01/01/2003,Chile,78
01/01/2003,China,73
01/01/2003,Colombia,72
01/01/2003,Costa Rica,78
01/01/2003,Cuba,77
01/01/2003,Cyprus,78
01/01/2003,Denmark,77
01/01/2003,Dominican Rep.,71
01/01/2003,Ecuador,74
01/01/2003,Egypt,69
01/01/2003,El Salvador,70
01/01/2003,Fiji,68
01/01/2003,Finland,78
01/01/2003,France,80
01/01/2003,Gabon,60
01/01/2003,Germany,79
01/01/2003,Greece,79
01/01/2003,Guatemala,69
01/01/2003,Guyana,64
